RowNumber,CustomerId,FullName,CreditScore,Province,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1243,15813132,Võ Ngọc Hải,696.0,Đà Nẵng,Male,,4,114027.7,1,1,1,193716.56,0
1244,15593331,Lê Tuấn Khánh,693.0,Thanh Hóa,Male,,6,,1,0,1,,0
1245,15616709,Ngô Tuấn Minh,587.0,Đà Nẵng,Female,unknown,0,,2,0,0,31730.32,0
1247,15721189,Dương Xuân Dũng,666.0,Cần Thơ,Female,66.0,7,0.0,2,1,1,99792.82,0
1248,15711288,Võ Tuấn Tâm,512.0,TP.HCM,Male,24.0,6,0.0,2,1,0,37654.31,0
1249,15770030,Phạm Thanh Hải,689.0,Bình Dương,Female,28.0,3,0.0,2,1,1,,0
1250,15803681,Trần Thanh Khoa,803.0,Hải Phòng,Female,26.0,4,0.0,2,1,1,181208.47,0
1251,15702789,Phạm Hữu Hà,548.0,Bắc Ninh,Male,32.0,5,175214.71,1,1,1,155165.61,0
1253,15658306,Lê Hoàng Linh,693.0,Đồng Nai,Male,68.0,4,97705.99,1,1,1,61569.07,0
1254,15699523,Lê Tuấn Phúc,499.0,Đà Nẵng,Female,55.0,4,126817.65,2,1,0,,0
1256,15615032,Lý Hoàng Tâm,624.0,Thanh Hóa,Male,46.0,3,0.0,2,1,1,62825.03,0
1257,15781989,Đặng Thị Linh,733.0,Long An,Male,unknown,9,120094.93,1,1,0,184056.45,0
1258,15647402,Bùi Thùy Huyền,628.0,Hải Phòng,Female,38.0,3,0.0,2,1,1,,0
1259,15740494,Nguyễn Tuấn Dũng,633.0,Hải Phòng,Female,33.0,3,0.0,2,1,0,191111.02,0
1260,15701265,Đặng Tuấn Lan,559.0,Hà Nội,Female,36.0,1,104356.94,2,0,1,54184.06,0
1262,15794870,Võ Hải Hà,744.0,Hà Nội,Male,38.0,6,73023.17,2,1,0,78770.86,0
1263,15747591,Phạm Phương Linh,665.0,Hà Nội,Female,,1,173432.55,1,0,1,116766.79,0
1264,15726557,Bùi Văn Hải,638.0,Bà Rịa - Vũng Tàu,Female,42.0,7,165679.92,1,0,0,32916.29,0
1265,15732199,Phạm Hoàng Hải,837.0,Đồng Nai,Male,31.0,9,104678.62,1,0,1,,0
1267,15749050,Phạm Thanh Khánh,548.0,Đồng Nai,Female,36.0,3,0.0,1,1,0,65996.9,0
1268,15781586,Trần Minh Minh,,Thừa Thiên Huế,Male,38.0,2,126732.85,1,1,1,79577.38,0
1269,15617078,Dương Thanh Linh,658.0,Hải Phòng,Female,44.0,6,148481.09,1,1,0,130529.13,0
1270,15723339,Lý Hoàng Mai,nan,Bình Dương,Female,38.0,4,137654.05,2,1,1,172629.67,0
1271,15671322,Bùi Thanh Lan,724.0,Thừa Thiên Huế,Male,30.0,7,115315.04,1,1,0,15216.53,0
1272,15793854,Võ Ngọc Khánh,723.0,Hà Nội,Male,42.0,2,99095.73,1,1,1,17512.53,0
1273,15756539,Lý Minh Huyền,585.0,Bình Dương,Female,39.0,7,165610.41,2,0,0,131852.01,0
1275,15625916,Phạm Ngọc Khoa,562.0,Thanh Hóa,Male,32.0,6,161628.66,1,1,0,91482.5,0
1276,15683195,Phạm Tuấn Thảo,,TP.HCM,Male,32.0,9,146605.27,1,1,1,77119.45,0
1278,15721719,Đỗ Hữu Tuấn,743.0,An Giang,Male,42.0,7,77002.2,2,1,1,80428.42,0
1279,15641690,Trần Văn Linh,681.0,Đà Nẵng,Male,67.0,7,0.0,2,0,1,163714.92,0
1280,15634896,Ngô Văn Khánh,521.0,Long An,Female,39.0,6,,2,0,1,,0
1281,15671590,Lý Minh Lan,741.0,TP.HCM,Male,25.0,4,0.0,2,1,1,73873.65,0
1283,15778287,Phạm Phương Huyền,622.0,Lâm Đồng,Male,35.0,8,0.0,2,1,1,131772.51,0
1284,15609510,Bùi Hoàng Hải,669.0,TP.HCM,Male,45.0,7,149364.58,1,0,1,173454.07,0
1285,15742229,Đỗ Phương Thảo,583.0,Kiên Giang,Male,,7,127450.14,1,0,1,67552.71,0
1286,15658532,Nguyễn Thùy Hà,,An Giang,Female,63.0,5,162278.32,1,1,1,34765.33,0
1287,15590993,Võ Hoàng Dũng,579.0,Khánh Hòa,Male,37.0,5,152212.88,2,0,0,120219.14,0
1288,15565701,Đỗ Hữu Lan,698.0,Đồng Nai,Female,39.0,9,,1,0,0,90212.38,0
1289,15597239,Nguyễn Phương Dũng,548.0,Hà Nội,Male,39.0,7,,1,1,0,164975.82,0
1291,15813917,Đỗ Hoàng Tâm,653.0,Hải Phòng,Male,31.0,9,143321.97,1,1,0,83679.46,0
1292,15679611,Nguyễn Thùy Dũng,,Đà Nẵng,Female,37.0,2,130404.92,1,0,0,34548.74,0
1293,15636589,Đỗ Tuấn Phúc,794.0,Bà Rịa - Vũng Tàu,Female,41.0,7,0.0,2,1,1,74275.08,0
1294,15687752,Vũ Tuấn Lan,641.0,Hà Nội,Male,30.0,2,87505.47,2,0,1,7278.57,0
1295,15584363,Dương Ngọc Huyền,824.0,Khánh Hòa,Male,30.0,0,133634.02,1,1,1,,0
1296,15737748,Bùi Văn Phúc,534.0,Lâm Đồng,Female,33.0,3,151233.62,1,0,0,199336.63,0
1297,15803365,Phạm Văn Huyền,653.0,Bà Rịa - Vũng Tàu,Male,55.0,2,70263.83,1,0,1,62347.71,0
1298,15793247,Phạm Hoàng Hùng,498.0,Quảng Ninh,Male,,5,0.0,2,1,1,91711.66,0
1299,15572360,Phạm Thị Hùng,683.0,Lâm Đồng,Male,unknown,10,57657.49,1,0,0,79240.9,0
1300,15795166,Lý Ngọc Trang,618.0,An Giang,Male,42.0,8,153572.31,2,1,1,,0
1301,15724620,Vũ Thùy Huyền,538.0,Kiên Giang,Male,unknown,1,,1,1,0,162511.55,0
1302,15800856,Hoàng Ngọc Khánh,643.0,TP.HCM,Male,34.0,3,nan,1,1,1,,0
1303,15671097,Lê Hoàng Phúc,428.0,Đà Nẵng,Female,unknown,2,,2,1,0,54487.43,0
1305,15749004,Vũ Ngọc Khánh,718.0,Hà Nội,Female,31.0,0,118100.59,2,1,0,103165.15,0
1308,15638806,Hoàng Thùy Lan,645.0,Lâm Đồng,Male,49.0,2,0.0,2,0,0,10023.15,0
1309,15662294,Vũ Minh Nam,710.0,Thừa Thiên Huế,Male,unknown,10,118327.17,2,1,1,192928.82,0
1310,15690079,Hoàng Thùy Hải,,Quảng Ninh,Male,30.0,8,124857.69,2,0,0,50485.7,0
1311,15759317,Vũ Hải Khoa,748.0,Khánh Hòa,Female,27.0,2,,1,1,1,131662.47,0
1312,15750497,Trần Hữu Hùng,850.0,Thừa Thiên Huế,Female,unknown,7,,1,1,1,,0
1314,15576602,Hoàng Thanh Nam,809.0,Hải Phòng,Male,38.0,3,0.0,2,1,1,80061.31,0
1316,15734634,Dương Thanh Anh,607.0,Đồng Nai,Female,27.0,5,100912.19,1,0,0,7631.27,0
1317,15808689,Hoàng Văn Phúc,850.0,Thừa Thiên Huế,Female,31.0,4,0.0,2,1,1,,0
1320,15763612,Phạm Xuân Huyền,756.0,Lâm Đồng,Male,41.0,2,124439.49,2,0,1,47093.11,0
1321,15596493,Lý Thùy Phúc,,Lâm Đồng,Female,47.0,7,,2,1,1,177624.01,0
1322,15704483,Đặng Minh Lan,724.0,Lâm Đồng,Male,40.0,6,nan,2,0,0,106149.48,0
1323,15598846,Hoàng Tuấn Trang,700.0,Thanh Hóa,Female,44.0,2,58781.76,1,1,0,16874.92,0
1325,15765537,Vũ Minh Khoa,687.0,Bắc Ninh,Male,26.0,2,142721.52,1,1,1,153605.75,0
1326,15729975,Trần Minh Minh,613.0,Thừa Thiên Huế,Female,unknown,8,167795.6,1,0,1,44390.38,0
1327,15682773,Vũ Tuấn Phúc,781.0,Bắc Ninh,Female,38.0,3,128345.69,2,1,0,63218.85,0
1328,15688007,Đặng Thanh Linh,703.0,TP.HCM,Male,,3,165260.98,1,1,1,41626.78,0
1331,15742854,Lý Phương Minh,640.0,Đồng Nai,Female,46.0,8,0.0,2,1,0,,0
1332,15575417,Trần Phương Trang,849.0,Khánh Hòa,Male,37.0,7,143452.74,2,1,1,17294.12,0
1333,15796721,Đỗ Hữu Trang,778.0,Đồng Nai,Male,38.0,3,145018.49,2,1,1,126702.41,0
1334,15734942,Hoàng Văn Mai,539.0,Hải Phòng,Female,38.0,8,82407.51,1,1,0,13123.41,0
1335,15664772,Vũ Phương Dũng,,Long An,Male,28.0,1,79460.98,2,1,1,167973.63,0
1337,15682563,Võ Thanh Nam,618.0,Đồng Nai,Male,38.0,5,126473.99,1,1,0,91972.49,0
1338,15650889,Lê Thùy Phúc,,TP.HCM,Female,30.0,10,133537.1,2,1,0,155593.74,0
1339,15612108,Võ Thùy Lan,625.0,Hải Phòng,Male,52.0,5,164978.01,1,1,1,67788.49,0
1340,15761132,Nguyễn Ngọc Lan,682.0,TP.HCM,Male,46.0,7,128029.72,1,1,1,62615.35,0
1343,15640268,Ngô Thị Khánh,,Khánh Hòa,Male,71.0,4,nan,1,1,1,120107.1,0
1344,15645778,Vũ Phương Khoa,670.0,An Giang,Male,,3,81589.04,1,1,0,188227.8,0
1346,15714567,Lý Minh Phúc,568.0,An Giang,Female,26.0,6,0.0,2,0,0,166495.2,0
1347,15777826,Đặng Hữu Trang,643.0,Lâm Đồng,Male,30.0,5,,1,1,1,165614.4,0
1348,15668445,Trần Thùy Mai,521.0,Bình Dương,Male,37.0,2,,2,1,1,86372.24,0
1349,15576162,Phạm Thùy Hà,615.0,Bà Rịa - Vũng Tàu,Male,32.0,7,92199.84,1,1,1,2755.53,0
1350,15778135,Võ Hải Anh,575.0,An Giang,Male,43.0,3,0.0,1,1,0,83594.51,0
1351,15613141,Phạm Văn Huyền,717.0,Bắc Ninh,Female,41.0,3,135756.96,1,1,1,103706.41,0
1354,15623644,Bùi Ngọc Nam,626.0,Bình Dương,Male,29.0,7,0.0,2,1,0,49361.84,0
1356,15615029,Lê Hữu Thảo,734.0,TP.HCM,Male,39.0,6,0.0,1,1,1,95135.27,0
1357,15769005,Dương Thanh Lan,nan,Hà Nội,Male,49.0,4,154344.49,2,1,1,38794.57,0
1358,15746326,Phạm Hải Hùng,591.0,Bình Dương,Male,43.0,3,0.0,2,0,1,,0
1359,15722364,Đỗ Thùy Nam,664.0,Hà Nội,Male,43.0,9,189026.53,2,1,1,56099.86,0
1360,15704954,Đặng Tuấn Lan,110.0,Bình Dương,Male,114.0,0,nan,1,1,1,117023.08,0
1361,15694409,Đặng Hải Lan,647.0,Thanh Hóa,Female,22.0,3,97975.82,2,0,1,62083.0,0
1362,15754068,Ngô Hoàng Huyền,578.0,Đà Nẵng,Male,unknown,4,0.0,2,1,1,141822.8,0
1363,15683841,Đặng Ngọc Tâm,,Thanh Hóa,Male,41.0,10,113270.2,2,1,1,,0
1364,15789095,Lý Hoàng Khánh,775.0,Long An,Male,unknown,4,0.0,2,0,1,57461.13,0
1365,15719958,Dương Thùy Tâm,850.0,An Giang,Male,39.0,3,,2,1,1,120380.12,0
1367,15621353,Phạm Hữu Trang,645.0,Long An,Female,37.0,7,0.0,2,1,0,13589.93,0
1369,15745843,Võ Thùy Nam,689.0,Kiên Giang,Female,31.0,4,0.0,2,1,1,136610.02,0
1371,15791767,Võ Ngọc Khánh,769.0,Quảng Ninh,Female,26.0,7,0.0,2,1,0,176843.53,0
1372,15792722,Nguyễn Hải Hà,611.0,Lâm Đồng,Female,43.0,8,64897.75,1,1,0,114996.33,0
1373,15723006,Nguyễn Hoàng Minh,489.0,Đà Nẵng,Male,38.0,8,0.0,2,0,1,196990.79,0
1375,15774738,Nguyễn Thanh Phúc,,Khánh Hòa,Male,,3,107764.75,1,1,0,185667.72,0
1376,15574004,Dương Minh Nam,429.0,Bắc Ninh,Female,27.0,6,117307.44,2,1,1,24020.49,0
1378,15808228,Trần Phương Dũng,768.0,Hải Phòng,Female,unknown,6,nan,1,1,1,178045.97,0
1379,15682834,Ngô Hữu Linh,715.0,Hải Phòng,Female,35.0,4,,2,1,1,199857.47,0
1380,15571752,Hoàng Văn Tâm,668.0,Bà Rịa - Vũng Tàu,Female,32.0,10,92041.87,1,1,1,43595.9,0
1381,15743067,Nguyễn Xuân Nam,625.0,Bà Rịa - Vũng Tàu,Male,,3,130483.95,1,1,0,122810.53,0
1383,15617982,Lê Phương Tâm,661.0,Hải Phòng,Female,42.0,3,0.0,2,1,0,35989.41,0
1384,15696637,Lý Phương Khoa,571.0,Đà Nẵng,Female,23.0,10,151097.28,1,0,1,17163.75,0
1386,15672756,Hoàng Thanh Hà,716.0,Cần Thơ,Female,35.0,8,112808.18,1,0,1,17848.3,0
1387,15704586,Bùi Hoàng Nam,,Đồng Nai,Female,42.0,7,0.0,2,0,1,76209.56,0
1388,15674526,Đỗ Ngọc Dũng,725.0,Lâm Đồng,Male,66.0,4,86459.8,1,1,1,,0
1391,15727281,Dương Minh Khánh,653.0,TP.HCM,Female,27.0,9,0.0,2,1,0,96429.29,0
1393,15730540,Đặng Minh Khánh,794.0,Bà Rịa - Vũng Tàu,Male,45.0,8,88656.37,2,1,0,116547.31,0
1394,15646276,Lý Ngọc Hùng,831.0,TP.HCM,Female,32.0,2,146033.62,1,1,0,191260.74,0
1395,15582180,Trần Thùy Anh,561.0,Bắc Ninh,Male,29.0,9,120268.13,1,1,1,173870.39,0
1396,15697095,Võ Thị Thảo,705.0,Lâm Đồng,Male,46.0,7,0.0,2,1,0,117273.35,0
1400,15775546,Lê Văn Minh,517.0,Khánh Hòa,Female,29.0,5,0.0,2,1,0,103402.88,0
1401,15670481,Đỗ Tuấn Dũng,684.0,An Giang,Female,27.0,9,122550.05,2,0,1,137835.82,0
1402,15619029,Vũ Xuân Linh,620.0,Đồng Nai,Female,43.0,2,0.0,2,1,0,,0
1403,15613282,Ngô Xuân Tuấn,757.0,Khánh Hòa,Male,29.0,8,,1,1,0,,0
1404,15721487,Dương Hải Tuấn,739.0,Kiên Giang,Female,27.0,6,0.0,1,1,1,,0
1407,15629617,Dương Ngọc Khoa,572.0,Hà Nội,Male,23.0,2,nan,1,0,1,67040.12,0
1408,15600821,Lê Thanh Linh,nan,Thanh Hóa,Male,69.0,2,108424.19,1,1,1,178418.35,0
1409,15579062,Hoàng Hải Anh,707.0,TP.HCM,Male,32.0,9,nan,2,0,0,30807.02,0
1410,15814268,Ngô Tuấn Hùng,444.0,Bắc Ninh,Female,40.0,5,84350.07,1,1,0,143835.76,0
1412,15693904,Bùi Xuân Dũng,685.0,Thanh Hóa,Female,30.0,4,84958.6,2,0,1,194343.72,0
1413,15588986,Vũ Thanh Lan,673.0,Hà Nội,Female,29.0,4,99097.36,1,1,1,9796.69,0
1414,15797733,Vũ Hoàng Dũng,503.0,Thanh Hóa,Male,30.0,10,136622.55,2,0,0,47310.24,0
1415,15620507,Đặng Xuân Hải,485.0,TP.HCM,Female,,5,156771.68,1,1,1,141148.21,0
1416,15685150,Đỗ Hữu Dũng,799.0,Đồng Nai,Male,28.0,7,167658.33,2,1,1,,0
1417,15667651,Đặng Xuân Minh,585.0,Hà Nội,Female,,8,0.0,2,1,0,,0
1418,15774166,Hoàng Xuân Khoa,,Hà Nội,Female,24.0,2,109483.54,2,0,1,,0
1419,15649280,Vũ Hữu Tuấn,,TP.HCM,Female,40.0,9,134504.78,1,1,0,18082.06,0
1420,15705657,Võ Minh Hải,535.0,TP.HCM,Female,,2,114427.86,1,1,1,136330.26,0
1421,15753969,Ngô Xuân Phúc,724.0,Kiên Giang,Male,45.0,5,83888.54,1,0,1,34121.81,0
1422,15742378,Đỗ Hải Khánh,520.0,Quảng Ninh,Male,unknown,5,110029.77,1,1,0,56246.69,0
1423,15794874,Bùi Ngọc Tâm,696.0,Cần Thơ,Male,41.0,9,127523.75,1,0,1,,0
1424,15589221,Lý Thanh Tâm,657.0,Long An,Male,30.0,1,139762.13,2,1,1,23317.88,0
1426,15583668,Võ Thanh Tâm,726.0,Khánh Hòa,Female,42.0,2,109471.79,1,0,1,175161.05,0
1427,15710206,Lê Phương Khoa,591.0,Thừa Thiên Huế,Female,39.0,4,150500.64,1,1,0,14928.8,0
1429,15794560,Ngô Ngọc Minh,550.0,Long An,Male,57.0,5,nan,1,1,1,133501.94,0
1430,15626485,Trần Hoàng Tâm,601.0,Nghệ An,Female,26.0,8,78892.23,1,1,1,23703.52,0
1431,15703143,Hoàng Xuân Nam,820.0,Long An,Female,29.0,3,,1,0,1,115985.38,0
1432,15809772,Vũ Minh Lan,,TP.HCM,Male,48.0,2,nan,1,1,0,43229.2,0
1433,15687959,Bùi Xuân Hà,573.0,Hải Phòng,Female,unknown,4,,1,1,1,94862.93,0
1434,15585282,Võ Thanh Nam,755.0,An Giang,Male,62.0,1,127706.33,2,0,1,,0
1435,15714993,Lý Ngọc Thảo,,Lâm Đồng,Female,,9,124349.34,1,1,0,135635.25,0
1436,15596021,Võ Hữu Tuấn,598.0,Thừa Thiên Huế,Male,44.0,8,0.0,2,1,0,148487.9,0
1437,15646615,Đặng Phương Hà,nan,Khánh Hòa,Male,28.0,1,119336.29,2,0,1,,0
1438,15742632,Đặng Ngọc Tuấn,670.0,Bình Dương,Female,31.0,9,0.0,1,0,1,76254.83,0
1440,15806967,Hoàng Thùy Nam,778.0,Bình Dương,Female,65.0,7,,1,1,1,77867.23,0
1442,15688713,Phạm Thị Mai,627.0,Kiên Giang,Male,44.0,6,,1,1,1,114469.55,0
1443,15796179,Lý Hữu Khánh,,Hà Nội,Male,43.0,8,,1,1,0,96754.8,0
1445,15703019,Võ Văn Nam,583.0,Quảng Ninh,Female,38.0,10,,2,0,1,113597.64,0
1446,15646302,Lê Thùy Nam,705.0,Hà Nội,Female,24.0,7,100169.51,1,1,0,121408.55,0
1447,15680855,Bùi Văn Mai,637.0,Hải Phòng,Male,33.0,2,145731.83,1,0,1,109219.43,0
1450,15726556,Ngô Thị Tâm,,Đồng Nai,Female,26.0,6,135067.52,2,0,0,131211.86,0
1452,15684198,Dương Văn Phúc,551.0,Đà Nẵng,Female,38.0,10,,2,1,1,216.27,0
1454,15714227,Vũ Thùy Khoa,672.0,Hải Phòng,Female,53.0,7,0.0,1,1,1,136910.18,0
1456,15784280,Vũ Văn Linh,686.0,Bà Rịa - Vũng Tàu,Male,35.0,2,109342.82,2,0,1,86043.27,0
1457,15789546,Hoàng Thị Khánh,639.0,An Giang,Male,28.0,8,0.0,2,1,0,126561.07,0
1458,15590320,Lê Tuấn Tâm,850.0,Thanh Hóa,Male,unknown,4,0.0,2,0,1,64350.8,0
1459,15678385,Đỗ Thị Huyền,nan,Thừa Thiên Huế,Male,unknown,2,78247.31,2,1,1,10472.31,0
1461,15657085,Vũ Thanh Khánh,578.0,Quảng Ninh,Male,23.0,10,88980.32,1,1,1,125222.36,0
1462,15640627,Vũ Văn Minh,611.0,Bắc Ninh,Male,,4,,2,1,0,170950.58,0
1464,15669293,Bùi Minh Huyền,,Thanh Hóa,Male,37.0,5,113308.84,1,0,1,31517.16,0
1465,15595067,Vũ Văn Mai,637.0,Thanh Hóa,Female,40.0,6,0.0,2,1,1,181610.6,0
1466,15753566,Võ Hoàng Khoa,806.0,Hà Nội,Female,32.0,3,63763.49,1,1,0,156593.09,0
1467,15650391,Đặng Hải Nam,,Quảng Ninh,Female,29.0,7,169988.35,1,1,0,4272.0,0
1468,15681843,Đỗ Thị Lan,624.0,Thanh Hóa,Female,35.0,0,180303.24,2,1,0,163587.9,0
1471,15762332,Dương Hải Mai,568.0,Hà Nội,Female,31.0,1,61592.14,2,1,1,61796.64,0
1472,15700223,Trần Thanh Khoa,806.0,Kiên Giang,Male,48.0,4,164701.68,1,1,1,21439.49,0
1473,15729956,Lê Thùy Hùng,726.0,Kiên Giang,Female,26.0,1,80780.16,1,1,1,19225.85,0
1474,15594862,Võ Ngọc Phúc,552.0,Thừa Thiên Huế,Male,36.0,8,0.0,2,0,0,132547.02,0
1475,15598782,Phạm Hải Trang,755.0,Hải Phòng,Female,30.0,6,,2,0,1,62688.55,0
1476,15745080,Đỗ Phương Lan,634.0,Đà Nẵng,Male,26.0,8,0.0,1,1,0,,0
1477,15703399,Hoàng Thùy Hà,756.0,Quảng Ninh,Female,26.0,5,101641.14,2,0,1,,0
1478,15732175,Vũ Thanh Dũng,776.0,Quảng Ninh,Male,37.0,2,0.0,1,0,1,8065.0,0
1480,15640260,Đỗ Hữu Linh,nan,Cần Thơ,Male,32.0,8,131081.66,2,1,1,69428.79,0
1481,15716822,Nguyễn Hải Minh,646.0,Thừa Thiên Huế,Male,30.0,5,,1,1,1,,0
1482,15583748,Hoàng Hữu Nam,592.0,Bắc Ninh,Male,38.0,8,,2,1,0,,0
1483,15605968,Dương Thị Nam,574.0,Đồng Nai,Male,26.0,8,97460.1,1,1,1,43093.67,0
1484,15790683,Bùi Phương Thảo,850.0,Đà Nẵng,Male,,1,104077.19,2,0,1,,0
1485,15607713,Lý Tuấn Thảo,850.0,Hà Nội,Female,29.0,1,0.0,2,1,1,197996.65,0
1487,15626710,Đặng Xuân Huyền,642.0,An Giang,Female,,4,0.0,1,1,1,,0
1490,15617705,Đỗ Văn Anh,609.0,Khánh Hòa,Female,39.0,8,141675.23,1,0,1,175664.25,0
1491,15761976,Lý Phương Trang,797.0,Bắc Ninh,Female,31.0,8,0.0,2,1,0,117916.63,0
1494,15686963,Phạm Minh Trang,680.0,Bình Dương,Female,30.0,3,nan,1,1,0,160131.58,0
1495,15808189,Phạm Văn Khoa,,Nghệ An,Male,52.0,6,0.0,2,0,1,123622.0,0
1496,15580845,Bùi Xuân Phúc,685.0,Đồng Nai,Male,57.0,7,101868.51,1,0,1,113483.96,0
1497,15799156,Đặng Hoàng Hà,569.0,Cần Thơ,Male,38.0,8,,2,0,0,79618.79,0
1498,15694296,Ngô Phương Linh,631.0,Hà Nội,Male,35.0,9,112392.45,2,1,0,24472.23,0
1499,15677049,Võ Tuấn Tâm,,Quảng Ninh,Female,,7,106570.34,2,0,1,177025.79,0
1500,15583595,Phạm Minh Minh,,Bình Dương,Female,unknown,8,0.0,1,1,1,103349.74,0
1502,15801548,Dương Phương Phúc,661.0,Khánh Hòa,Female,31.0,7,144162.3,2,1,1,14490.79,0
1503,15660833,Vũ Thanh Phúc,796.0,Quảng Ninh,Male,39.0,5,,2,0,0,105080.53,0
1505,15791302,Lý Tuấn Dũng,741.0,Nghệ An,Male,32.0,8,0.0,2,1,0,143598.7,0
1507,15599956,Đặng Hữu Tuấn,747.0,Quảng Ninh,Male,27.0,10,0.0,2,0,0,13007.89,0
1508,15577274,Lê Thị Nam,549.0,Khánh Hòa,Female,43.0,3,134985.66,1,1,0,6101.41,0
1509,15701200,Nguyễn Ngọc Tuấn,576.0,Đồng Nai,Male,36.0,6,,2,1,1,48314.0,0
1510,15638149,Bùi Hải Linh,528.0,Bà Rịa - Vũng Tàu,Male,37.0,6,103772.45,1,1,0,,0
1511,15786199,Dương Ngọc Anh,535.0,Kiên Giang,Male,33.0,2,133040.32,1,1,1,110299.78,0
1512,15701765,Dương Văn Lan,575.0,Thừa Thiên Huế,Female,37.0,0,0.0,2,0,0,30114.32,0
1513,15586974,Đỗ Hoàng Tâm,656.0,Đồng Nai,Male,39.0,10,0.0,2,1,1,98894.64,0
1514,15729040,Đặng Thanh Tuấn,nan,Lâm Đồng,Male,42.0,2,0.0,2,1,0,49826.68,0
1515,15788676,Đỗ Xuân Anh,,Lâm Đồng,Male,38.0,8,,2,1,1,10074.05,0
1516,15602497,Võ Hữu Anh,850.0,Thừa Thiên Huế,Male,39.0,6,133214.13,1,0,1,20769.88,0
1517,15701333,Đặng Văn Minh,,Hải Phòng,Female,,7,96558.66,1,0,0,163427.18,0
1518,15812071,Vũ Thùy Nam,197.0,Hà Nội,Male,108.0,6,526129.6381165292,2,0,1,140068.77,0
1519,15634375,Đỗ Văn Khoa,710.0,Đồng Nai,Female,36.0,8,0.0,2,0,0,83206.19,0
1522,15591130,Lê Tuấn Huyền,507.0,Thanh Hóa,Female,29.0,6,0.0,2,0,1,94780.9,0
1523,15720662,Hoàng Xuân Hải,787.0,Bắc Ninh,Female,35.0,1,106266.8,1,1,1,,0
1524,15751531,Vũ Hoàng Linh,598.0,Cần Thơ,Male,41.0,8,0.0,2,1,1,161954.43,0
1525,15653595,Vũ Ngọc Dũng,796.0,Quảng Ninh,Male,51.0,6,0.0,2,0,1,194733.28,0
1526,15568360,Ngô Văn Phúc,569.0,Hải Phòng,Female,,4,nan,1,1,1,163524.7,0
1527,15781210,Trần Hải Phúc,711.0,Bình Dương,Male,34.0,8,0.0,2,0,0,48260.19,0
1528,15668058,Hoàng Hữu Khoa,661.0,Nghệ An,Male,35.0,8,nan,1,1,0,86678.48,0
1529,15597131,Đặng Minh Hải,415.0,Bắc Ninh,Male,32.0,5,,1,1,1,3064.65,0
1530,15697283,Bùi Ngọc Thảo,,Nghệ An,Male,23.0,8,0.0,2,1,0,,0
1531,15640953,Nguyễn Thị Phúc,611.0,Bắc Ninh,Female,26.0,2,107508.93,2,1,1,120801.65,0
1532,15715031,Bùi Xuân Hà,600.0,Khánh Hòa,Female,28.0,6,0.0,2,0,1,52193.23,0
1533,15589660,Đỗ Hải Mai,,Hà Nội,Female,32.0,1,145980.23,1,0,1,56636.28,0
1534,15769818,Lê Ngọc Linh,850.0,Quảng Ninh,Female,37.0,3,,1,0,1,69372.88,0
1536,15614818,Dương Xuân Khoa,764.0,Khánh Hòa,Female,33.0,9,168964.77,1,0,1,,0
1537,15794014,Đặng Minh Khoa,838.0,Cần Thơ,Female,34.0,8,0.0,2,1,0,27472.07,0
1538,15732448,Võ Thùy Linh,821.0,Hà Nội,Female,28.0,8,0.0,1,1,1,36754.13,0
1539,15723411,Đặng Văn Thảo,246.0,Cần Thơ,Female,106.0,4,758262.9824398444,1,1,1,46416.36,0
1540,15797686,Ngô Hải Linh,558.0,An Giang,Male,38.0,8,113000.92,1,1,1,152872.39,0
1541,15605950,Bùi Thị Hùng,530.0,Long An,Male,23.0,1,137060.88,2,1,1,165227.23,0
1542,15812497,Bùi Thanh Huyền,654.0,Thanh Hóa,Male,,5,112146.12,1,1,0,75927.35,0
1543,15690678,Hoàng Hải Mai,530.0,Long An,Female,33.0,4,129307.32,1,1,1,172930.28,0
1544,15747677,Dương Văn Hùng,,Quảng Ninh,Male,69.0,6,nan,1,1,1,36108.5,0
1545,15618926,Lê Thanh Linh,520.0,Lâm Đồng,Male,43.0,7,0.0,2,1,1,,0
1546,15673908,Trần Minh Hà,602.0,Thanh Hóa,Female,42.0,6,158414.85,1,1,1,131886.46,0
1547,15727944,Nguyễn Ngọc Huyền,701.0,Thanh Hóa,Female,48.0,1,92072.68,1,1,1,133992.36,0
1548,15807294,Ngô Hải Nam,653.0,Nghệ An,Female,,2,,2,1,1,96658.26,0
1549,15618581,Đỗ Thị Mai,,Bà Rịa - Vũng Tàu,Male,25.0,8,0.0,2,1,1,135112.09,0
1551,15599552,Ngô Ngọc Dũng,639.0,Bình Dương,Female,54.0,2,0.0,2,1,1,53843.71,0
1552,15749177,Lê Hữu Khoa,730.0,Đồng Nai,Female,52.0,7,0.0,2,0,1,122398.84,0
1553,15718779,Bùi Văn Trang,nan,Cần Thơ,Male,34.0,1,0.0,1,1,1,,0
1554,15568106,Trần Thanh Hùng,592.0,Thanh Hóa,Female,,8,119278.01,2,0,1,19370.73,0
1555,15779481,Nguyễn Tuấn Mai,628.0,Bắc Ninh,Male,34.0,4,,2,1,1,126192.54,0
1557,15772777,Đỗ Thanh Linh,,Đà Nẵng,Female,29.0,10,,2,1,1,94815.04,0
1559,15618018,Nguyễn Hữu Hải,571.0,Kiên Giang,Female,35.0,1,,2,0,1,,0
